wechat_id,trade_id,大单号,name,direction,trade_type,trade_purpose,trade_time,amount_fen,balance_fen,user_bank_card,用户侧网银联单号,网联/银联,third_party_account,counterparty_id,counterparty,counterparty_bank_card,counterparty_bank_name,对手侧网银联单号,基金公司信息,间联/非间联交易,counterparty_receive_time,counterparty_receive_amount_fen,remark,remark2,id_card_from_path,account_from_path,source_file,source_sheet,source_row
tom123,,,张三,入,余额支付,转账,2023-07-14 23:48,,,,,,,s3ns3n-3343,罗宇,,,,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,1
tom123,,,张三,入,余额支付,转账,2023-07-21 23:28,,,,,,,s3ns3n-3343,罗宇,,,,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,2
tom123,,,张三,入,余额支付,转账,2023-07-21 23:28,,,,,,,s3ns3n-3343,罗宇,,,,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,3
tom123,,,张三,入,余额支付,转账,2023-07-21 23:35,,,,,,,s3ns3n-3343,罗宇,,,,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,4
tom123,,,张三,入,余额支付,转账,2023-07-28 23:36,,,,,,,s3ns3n-3343,罗宇,,,,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,5
tom123,,,张三,入,快捷支付,转账,2023-07-28 23:53,,,,,网联,,s3ns3n-3343,罗宇,6220000000000000000,湖南农信,333,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,6
tom123,,,张三,出,余额支付,转账,2023-07-28 23:55,,,,,,,lijinteng971018,张三,,,,,非间连交易,2023-07-28 23:56,12000,微信转账,微信转账,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,7
tom123,,,张三,入,余额支付,转账,2023-08-23 23:28,,,,,,,s3ns3n-3343,罗宇,,,,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,8
tom123,,,张三,出,余额支付,转账,2023-09-15 21:56,,,,,,,,,,,,,非间连交易,,,微信转账,微信转账,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,9
tom123,,,张三,入,快捷支付,转账,2023-09-15 21:56,,,,,网联,,4xydmn0315,陈三一,6230000000000000000,福建农信银行,2020000000000000034537442639872,,非间连交易,,,微信红包,恭喜发财，大吉大利,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,10
tom123,,,张三,入,快捷支付,转账,2023-09-15 21:56,,,,,网联,,4xydmn0315,陈三一,6230000000000000000,福建农信银行,2020000000000000034537442639872,,非间连交易,,,微信红包,恭喜发财，大吉大利,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,11
tom123,,,张三,入,快捷支付,转账,2023-09-15 22:18,,,,,网联,,4xydmn0315,陈三一,6230000000000000000,福建农信银行,2020000000000000034537442639872,,非间连交易,,,微信转账,,110108199807051211,tom123,数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,TenpayTrades,12
